48	57	3	11	22
71	35	91	61	89
48	48	54	75	89
71	65	61	87	35
51	70	96	83	19
95	5	73	69	91
33	78	92	7	82
84	46	20	14	65
98	77	82	85	12
92	39	38	71	97
99	65	8	73	16
67	51	49	98	18
76	93	10	40	54
77	94	47	31	36
23	65	49	3	42
60	100	10	52	55
15	9	39	36	81
66	43	52	78	19
12	48	38	1	47
13	91	8	82	94
66	85	31	34	11
57	27	63	5	100
69	97	57	59	54
51	42	30	100	98
94	62	23	19	92
97	66	29	19	6
82	30	47	42	71
35	91	84	74	82
21	18	55	97	32
86	99	79	42	81
45	16	46	40	68
8	87	92	39	44
77	58	70	30	31
66	2	58	75	24
81	97	8	41	80
97	75	83	13	71
87	34	31	7	41
39	19	70	69	61
63	73	35	34	52
49	15	94	3	39
83	39	100	28	60
99	9	48	79	89
97	11	57	87	82
32	8	42	58	91
90	80	5	65	93
67	91	88	98	19
97	2	30	63	72
73	8	22	53	15
66	3	22	52	10
28	91	79	83	52
74	16	30	23	92
64	66	41	44	37
29	84	97	49	3
84	47	29	99	81
30	31	60	36	55
5	68	87	30	18
26	40	64	92	55
93	43	35	55	81
14	97	34	79	19
34	30	62	59	69
52	40	3	85	78
13	26	34	92	47
37	79	62	10	78
100	32	25	29	25
33	13	60	63	63
76	60	63	45	39
26	35	17	36	90
39	72	34	8	88
38	50	20	91	41
62	74	88	22	84
5	23	91	98	44
24	94	90	5	37
44	45	40	68	44
54	2	79	49	69
43	16	48	65	72
82	40	3	72	12
7	14	46	48	90
37	89	41	36	75
70	54	82	4	28
84	64	33	89	26
17	53	27	58	92
20	95	18	88	100
64	33	28	72	53
1	70	8	27	40
44	99	69	52	74
13	18	70	45	69
59	73	56	95	83
77	87	52	30	92
35	59	12	45	51
88	84	1	90	85
8	23	79	34	19
22	73	51	5	84
93	38	23	31	93
28	20	99	29	12
49	90	14	58	92
57	19	67	56	54
70	87	79	91	42
12	92	99	82	1
74	97	67	55	96
85	37	41	36	79
13	2	73	19	11
48	62	68	84	38
90	20	4	14	82
76	39	69	1	82
63	35	96	30	72
84	64	27	10	67
35	4	89	20	100
26	46	92	14	84
47	8	40	98	99
18	95	6	70	46
75	39	60	13	50
1	18	97	87	47
20	62	31	13	37
71	41	22	30	79
57	20	71	46	55
33	25	8	32	74
2	67	5	64	63
54	52	50	84	85
58	42	34	100	23
30	21	48	84	65
16	58	26	3	72
10	10	18	47	81
27	61	5	17	25
6	4	83	26	7
88	35	56	56	96
60	75	79	54	56
90	87	21	39	93
96	38	83	66	40
50	66	60	86	94
58	23	88	91	11
45	20	34	9	33
24	45	67	2	71
69	19	64	59	43
37	1	41	11	6
94	41	71	15	27
62	49	67	54	77
85	32	31	82	60
2	41	18	49	24
48	73	98	79	40
60	78	98	60	49
96	74	14	88	26
58	58	87	100	51
87	35	47	96	73
51	78	91	57	60
52	70	81	74	6
60	57	65	97	12
15	51	9	76	54
23	5	54	32	65
97	23	55	14	34
93	85	40	88	17
64	57	64	36	31
92	53	17	79	90
42	21	86	87	35
18	17	15	60	97
3	8	100	7	93
52	33	9	62	15
96	2	14	5	99
81	60	7	46	83
58	17	71	55	54
58	20	1	69	32
74	97	21	21	86
13	17	3	52	21
72	52	93	75	19
85	26	53	81	67
9	48	7	23	56
40	65	45	57	77
39	77	2	56	88
97	92	70	4	76
7	16	28	62	50
63	17	31	45	71
6	73	84	78	34
29	42	33	90	54
62	88	33	9	29
24	51	4	35	42
83	3	50	33	77
10	33	94	79	11
24	35	5	21	94
30	70	63	30	10
1	95	33	21	98
15	77	68	30	57
55	51	97	83	96
32	9	7	61	27
100	61	44	21	64
83	4	43	37	50
13	99	58	41	47
1	87	56	47	5
19	41	47	64	56
85	92	25	95	73
64	21	46	81	9
60	82	97	95	74
83	20	45	34	20
21	83	73	13	11
82	2	14	55	92
8	84	14	1	73
74	30	75	85	100
23	17	20	22	54
64	99	54	32	42
30	95	64	45	45
64	18	5	82	35
7	31	61	93	10
39	85	32	12	40
4	39	52	54	60
19	29	12	8	40
67	84	59	72	68
23	94	56	98	13
82	26	17	67	7
68	36	22	18	62
86	22	50	83	58
67	70	94	33	55
12	3	32	99	99
68	59	43	19	1
59	79	88	39	2
52	6	52	71	50
43	50	92	30	86
11	81	55	11	89
64	3	61	39	67
63	4	44	25	98
29	64	33	89	5
52	29	39	4	38
21	30	47	28	62
26	74	60	7	67
16	85	1	13	79
12	52	19	3	56
73	99	54	20	65
11	85	4	44	92
81	78	49	57	57
21	81	66	15	4
61	51	67	57	87
25	71	41	12	9
48	49	58	8	9
23	28	21	1	51
75	83	49	46	48
22	89	67	75	1
13	57	37	22	1
99	11	25	22	5
74	47	57	39	8
90	63	2	68	35
65	53	68	21	27
73	50	18	1	69
15	89	3	6	77
55	94	15	63	85
43	47	43	66	66
16	23	58	45	91
9	87	43	82	45
32	15	7	94	72
82	98	72	37	80
6	85	9	37	75
82	18	59	85	42
38	81	1	89	40
96	39	60	81	29
26	72	47	99	77
70	49	77	33	46
69	20	6	71	46
57	69	58	82	79
85	91	3	75	98
33	83	53	90	86
72	98	42	72	91
43	72	46	4	44
87	21	56	44	77
67	6	47	9	14
38	16	98	1	86
9	92	3	34	70
9	55	89	11	63
41	17	28	23	91
48	60	72	98	39
19	51	51	34	96
53	76	2	66	10
53	78	18	96	31
29	32	74	62	94
24	57	86	89	46
46	47	17	51	69
41	19	50	99	40
56	100	60	24	28
58	42	63	82	6
28	23	95	70	5
94	58	89	43	9
13	45	45	50	92
37	8	64	59	26
16	72	41	56	95
33	82	9	46	94
5	78	53	1	32
55	91	21	49	21
84	49	79	60	38
97	24	60	96	89
83	50	84	49	60
96	40	89	86	59
97	22	12	44	34
87	28	76	77	76
94	67	78	26	65
45	6	42	80	100
82	46	2	74	84
11	76	99	10	26
90	78	42	80	92
78	79	16	48	80
89	83	46	30	33
78	32	91	26	27
27	82	49	84	20
19	74	24	50	81
35	89	96	31	50
10	65	32	81	97
54	57	69	72	34
83	33	31	37	100
46	66	36	72	4
83	84	98	73	71
72	10	4	14	70
42	62	43	2	63
19	85	80	63	54
87	14	61	69	64
77	93	54	100	14
75	92	22	100	67
3	48	57	40	52
14	63	34	87	61
1	17	89	24	46
94	4	60	67	7
14	55	76	61	70
99	36	58	16	25
7	72	15	62	56
46	86	86	37	36
89	76	48	54	52
46	68	64	17	37
73	27	43	58	74
85	19	55	14	10
23	89	4	7	91
32	89	28	65	50
22	15	96	43	8
30	10	29	61	31
66	40	76	60	83
19	3	75	96	55
87	37	37	83	63
84	74	27	35	75
43	46	71	99	24
6	11	87	16	21
58	69	41	32	46
70	81	51	94	1
74	27	69	66	22
60	71	32	51	33
45	85	2	2	50
84	7	87	69	40
50	17	74	32	73
82	27	73	85	45
60	77	15	44	11
21	52	82	39	93
73	82	85	85	33
65	28	84	59	98
18	2	8	71	26
86	59	56	70	59
52	88	56	10	48
9	31	29	5	51
51	63	59	100	83
4	15	26	60	52
16	60	6	41	43
79	77	28	98	48
57	41	62	93	2
22	64	68	31	24
20	9	97	1	6
10	12	25	76	33
27	54	87	30	5
29	50	99	24	34
33	68	76	31	22
16	13	87	63	78
22	24	71	83	44
35	80	58	11	6
78	91	16	33	85
4	8	29	47	64
99	62	11	17	25
38	37	12	54	30
20	25	95	56	16
21	39	80	52	32
11	22	88	26	86
10	59	95	84	26
67	62	67	54	53
13	47	50	34	63
84	95	15	12	53
96	4	56	60	54
53	63	4	45	44
